School,Tuition_year_2000,Tuition_year_2005
Penn Stale,7.018,11.508
Pittsburgh,7.002,11.436
Michigan,6.926,9.798
Rutgers,6.333,9.221
Illinois,4.994,8.634
Minnesota,4.877,8.622
Micrugan State,5.432,8.108
Ohio State,4.383,8.082
Maryland,5.136,7.821
Cal-Davis,4.072,7.457
Missouri,4.726,7.415
Virginia,4.335,7.37
Indiana,4.405,7.112
Cal-Santa Barbara,3.832,6.997
Texas,3.575,6.972
Cal-lrvine,3.97,6.77
Cal-Santa Diego,3.848,6.685
Cal-Berkeley,4.047,6.512
UCLA,3.698,6.504
Purdue,3.872,6.458
Wisconsin,3.791,6.284
Buffalo,4.715,6.068
Iowa State,3.132,5.634
Oregon,3.819,5.613
Iowa,3.204,5.612
Washington,3.761,5.61
Nebraska,3.45,5.54
Kansas,2.725,5.413
Colorado,3.188,5.372
North Carolina,2.768,4.613
Arizona,2.348,4.498
Florida,2.256,3.094
